p,d_40,eabc_p,e_d,a_d,b_d,c_d,omega_d,shell_d,H_d,E_d
2,38,shell,0,0,1,0,2,1,1.0,-0.0
3,37,shell,1,0,0,0,1,0,1.0,-0.0
5,35,A,0,1,1,0,2,0,0.5,1.0
7,33,B,0,0,0,1,2,1,1.0,-0.0
11,29,C,0,1,0,0,1,0,1.0,-0.0
13,27,E,0,0,0,0,3,3,0.0,0.0
17,23,A,0,0,0,1,1,0,1.0,-0.0
19,21,B,0,0,1,0,2,1,1.0,-0.0
23,17,C,0,1,0,0,1,0,1.0,-0.0
29,11,A,0,0,0,1,1,0,1.0,-0.0
31,9,B,0,0,0,0,2,2,0.0,0.0
37,3,E,0,0,0,0,1,1,0.0,0.0
41,1,A,0,0,0,0,0,0,0.0,0.0
43,3,B,0,0,0,0,1,1,0.0,0.0
47,7,C,0,0,1,0,1,0,1.0,-0.0
53,13,A,1,0,0,0,1,0,1.0,-0.0
59,19,C,0,0,1,0,1,0,1.0,-0.0
61,21,E,0,0,1,0,2,1,1.0,-0.0
67,27,B,0,0,0,0,3,3,0.0,0.0
71,31,C,0,0,1,0,1,0,1.0,-0.0
73,33,E,0,0,0,1,2,1,1.0,-0.0
79,39,B,1,0,0,0,2,1,1.0,-0.0
83,43,C,0,0,1,0,1,0,1.0,-0.0
89,49,A,0,0,2,0,2,0,1.0,-0.0
97,57,E,0,0,1,0,2,1,1.0,-0.0
101,61,A,1,0,0,0,1,0,1.0,-0.0
103,63,B,0,0,1,0,3,2,1.0,-0.0
107,67,C,0,0,1,0,1,0,1.0,-0.0
109,69,E,0,0,0,1,2,1,1.0,-0.0
113,73,A,1,0,0,0,1,0,1.0,-0.0
127,87,B,0,1,0,0,2,1,1.0,-0.0
131,91,C,1,0,1,0,2,0,0.5,1.0
137,97,A,1,0,0,0,1,0,1.0,-0.0
139,99,B,0,0,0,1,3,2,1.0,-0.0
149,109,A,1,0,0,0,1,0,1.0,-0.0
151,111,B,1,0,0,0,2,1,1.0,-0.0
157,117,E,1,0,0,0,3,2,1.0,-0.0
163,123,B,0,1,0,0,2,1,1.0,-0.0
167,127,C,0,0,1,0,1,0,1.0,-0.0
173,133,A,0,0,2,0,2,0,1.0,-0.0
179,139,C,0,0,1,0,1,0,1.0,-0.0
181,141,E,0,0,0,1,2,1,1.0,-0.0
191,151,C,0,0,1,0,1,0,1.0,-0.0
193,153,E,0,1,0,0,3,2,1.0,-0.0
197,157,A,1,0,0,0,1,0,1.0,-0.0
199,159,B,0,1,0,0,2,1,1.0,-0.0
211,171,B,0,0,1,0,3,2,1.0,-0.0
223,183,B,1,0,0,0,2,1,1.0,-0.0
227,187,C,0,1,0,1,2,0,0.5,1.0
