n,factorization,omega,eabc_signature,shell,v_E,v_A,v_B,v_C,H,catalan
1,1,0,,0,0,0,0,0,,0
2,2,1,E,1,0,0,0,0,,1
3,3,1,E,1,0,0,0,0,,1
4,2²,2,EE,2,0,0,0,0,,1
5,5,1,A,0,0,1,0,0,1.0,1
6,2·3,2,EE,2,0,0,0,0,,1
7,7,1,B,0,0,0,1,0,1.0,1
8,2³,3,EEE,3,0,0,0,0,,2
9,3²,2,EE,2,0,0,0,0,,1
10,2·5,2,EA,1,0,1,0,0,1.0,1
11,11,1,C,0,0,0,0,1,1.0,1
12,2²·3,3,EEE,3,0,0,0,0,,2
13,13,1,E,0,1,0,0,0,1.0,1
14,2·7,2,EB,1,0,0,1,0,1.0,1
15,3·5,2,EA,1,0,1,0,0,1.0,1
16,2⁴,4,EEEE,4,0,0,0,0,,5
17,17,1,A,0,0,1,0,0,1.0,1
18,2·3²,3,EEE,3,0,0,0,0,,2
19,19,1,B,0,0,0,1,0,1.0,1
20,2²·5,3,EEA,2,0,1,0,0,1.0,2
21,3·7,2,EB,1,0,0,1,0,1.0,1
22,2·11,2,EC,1,0,0,0,1,1.0,1
23,23,1,C,0,0,0,0,1,1.0,1
24,2³·3,4,EEEE,4,0,0,0,0,,5
25,5²,2,AA,0,0,2,0,0,1.0,1
26,2·13,2,EE,1,1,0,0,0,1.0,1
27,3³,3,EEE,3,0,0,0,0,,2
28,2²·7,3,EEB,2,0,0,1,0,1.0,2
29,29,1,A,0,0,1,0,0,1.0,1
30,2·3·5,3,EEA,2,0,1,0,0,1.0,2
31,31,1,B,0,0,0,1,0,1.0,1
32,2⁵,5,EEEEE,5,0,0,0,0,,14
33,3·11,2,EC,1,0,0,0,1,1.0,1
34,2·17,2,EA,1,0,1,0,0,1.0,1
35,5·7,2,AB,0,0,1,1,0,0.5,1
36,2²·3²,4,EEEE,4,0,0,0,0,,5
37,37,1,E,0,1,0,0,0,1.0,1
38,2·19,2,EB,1,0,0,1,0,1.0,1
39,3·13,2,EE,1,1,0,0,0,1.0,1
40,2³·5,4,EEEA,3,0,1,0,0,1.0,5
41,41,1,A,0,0,1,0,0,1.0,1
42,2·3·7,3,EEB,2,0,0,1,0,1.0,2
43,43,1,B,0,0,0,1,0,1.0,1
44,2²·11,3,EEC,2,0,0,0,1,1.0,2
45,3²·5,3,EEA,2,0,1,0,0,1.0,2
46,2·23,2,EC,1,0,0,0,1,1.0,1
47,47,1,C,0,0,0,0,1,1.0,1
48,2⁴·3,5,EEEEE,5,0,0,0,0,,14
49,7²,2,BB,0,0,0,2,0,1.0,1
50,2·5²,3,EAA,1,0,2,0,0,1.0,2
51,3·17,2,EA,1,0,1,0,0,1.0,1
52,2²·13,3,EEE,2,1,0,0,0,1.0,2
53,53,1,A,0,0,1,0,0,1.0,1
54,2·3³,4,EEEE,4,0,0,0,0,,5
55,5·11,2,AC,0,0,1,0,1,0.5,1
56,2³·7,4,EEEB,3,0,0,1,0,1.0,5
57,3·19,2,EB,1,0,0,1,0,1.0,1
58,2·29,2,EA,1,0,1,0,0,1.0,1
59,59,1,C,0,0,0,0,1,1.0,1
60,2²·3·5,4,EEEA,3,0,1,0,0,1.0,5
61,61,1,E,0,1,0,0,0,1.0,1
62,2·31,2,EB,1,0,0,1,0,1.0,1
63,3²·7,3,EEB,2,0,0,1,0,1.0,2
64,2⁶,6,EEEEEE,6,0,0,0,0,,42
65,5·13,2,AE,0,1,1,0,0,0.5,1
66,2·3·11,3,EEC,2,0,0,0,1,1.0,2
67,67,1,B,0,0,0,1,0,1.0,1
68,2²·17,3,EEA,2,0,1,0,0,1.0,2
69,3·23,2,EC,1,0,0,0,1,1.0,1
70,2·5·7,3,EAB,1,0,1,1,0,0.5,2
71,71,1,C,0,0,0,0,1,1.0,1
72,2³·3²,5,EEEEE,5,0,0,0,0,,14
73,73,1,E,0,1,0,0,0,1.0,1
74,2·37,2,EE,1,1,0,0,0,1.0,1
75,3·5²,3,EAA,1,0,2,0,0,1.0,2
76,2²·19,3,EEB,2,0,0,1,0,1.0,2
77,7·11,2,BC,0,0,0,1,1,0.5,1
78,2·3·13,3,EEE,2,1,0,0,0,1.0,2
79,79,1,B,0,0,0,1,0,1.0,1
80,2⁴·5,5,EEEEA,4,0,1,0,0,1.0,14
81,3⁴,4,EEEE,4,0,0,0,0,,5
82,2·41,2,EA,1,0,1,0,0,1.0,1
83,83,1,C,0,0,0,0,1,1.0,1
84,2²·3·7,4,EEEB,3,0,0,1,0,1.0,5
85,5·17,2,AA,0,0,2,0,0,1.0,1
86,2·43,2,EB,1,0,0,1,0,1.0,1
87,3·29,2,EA,1,0,1,0,0,1.0,1
88,2³·11,4,EEEC,3,0,0,0,1,1.0,5
89,89,1,A,0,0,1,0,0,1.0,1
90,2·3²·5,4,EEEA,3,0,1,0,0,1.0,5
91,7·13,2,BE,0,1,0,1,0,0.5,1
92,2²·23,3,EEC,2,0,0,0,1,1.0,2
93,3·31,2,EB,1,0,0,1,0,1.0,1
94,2·47,2,EC,1,0,0,0,1,1.0,1
95,5·19,2,AB,0,0,1,1,0,0.5,1
96,2⁵·3,6,EEEEEE,6,0,0,0,0,,42
97,97,1,E,0,1,0,0,0,1.0,1
98,2·7²,3,EBB,1,0,0,2,0,1.0,2
99,3²·11,3,EEC,2,0,0,0,1,1.0,2
100,2²·5²,4,EEAA,2,0,2,0,0,1.0,5
