path_id,step,expr,signature,norm,kappa
P1,1,(q1*q2),"(1, 0, 0, 0)",2.000000,0.500000
P1,2,((q1*q2)*q3),"(1, 1, 0, 0)",6.000000,0.166667
P1,3,(((q1*q2)*q3)*q4),"(1, 1, 1, 0)",30.000000,0.033333
P2,1,(q2*q3),"(0, 1, 0, 0)",3.000000,0.333333
P2,2,(q1*(q2*q3)),"(1, 1, 0, 0)",6.000000,0.166667
P2,3,((q1*(q2*q3))*q4),"(1, 1, 1, 0)",30.000000,0.033333
P3,1,(q3*q4),"(0, 1, 1, 0)",15.000000,0.066667
P3,2,(q2*(q3*q4)),"(0, 1, 1, 0)",15.000000,0.066667
P3,3,(q1*(q2*(q3*q4))),"(1, 1, 1, 0)",30.000000,0.033333
P4,1,(q1*q2),"(1, 0, 0, 0)",2.000000,0.500000
P4,2,(q3*q4),"(0, 1, 1, 0)",15.000000,0.066667
P4,3,((q1*q2)*(q3*q4)),"(1, 1, 1, 0)",30.000000,0.033333
P5,1,(q2*q3),"(0, 1, 0, 0)",3.000000,0.333333
P5,2,((q2*q3)*q4),"(0, 1, 1, 0)",15.000000,0.066667
P5,3,(q1*((q2*q3)*q4)),"(1, 1, 1, 0)",30.000000,0.033333
