domain,observable,transform,family,description,I_abs,I_norm,effect_size,p_perm_invariance,n_samples,classification
catalan,M_C,identity,identity,No transformation,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,Omega,identity,identity,No transformation,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,S,identity,identity,No transformation,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,E(n),identity,identity,No transformation,0.0,0.0,0.0,0.0024937655860349127,7983,invariant
catalan,H(n),identity,identity,No transformation,0.0,0.0,0.0,0.0024937655860349127,7983,invariant
catalan,L(n),identity,identity,No transformation,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,D(n),identity,identity,No transformation,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,B(n),identity,identity,No transformation,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,M_C,eabc_cycle_E_to_A_to_B_to_C,eabc_cycle,Cycle E->A->B->C->E,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,Omega,eabc_cycle_E_to_A_to_B_to_C,eabc_cycle,Cycle E->A->B->C->E,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,S,eabc_cycle_E_to_A_to_B_to_C,eabc_cycle,Cycle E->A->B->C->E,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,E(n),eabc_cycle_E_to_A_to_B_to_C,eabc_cycle,Cycle E->A->B->C->E,0.0,0.0,0.0,0.0024937655860349127,7983,invariant
catalan,H(n),eabc_cycle_E_to_A_to_B_to_C,eabc_cycle,Cycle E->A->B->C->E,0.0,0.0,0.0,0.0024937655860349127,7983,invariant
catalan,L(n),eabc_cycle_E_to_A_to_B_to_C,eabc_cycle,Cycle E->A->B->C->E,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,D(n),eabc_cycle_E_to_A_to_B_to_C,eabc_cycle,Cycle E->A->B->C->E,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,B(n),eabc_cycle_E_to_A_to_B_to_C,eabc_cycle,Cycle E->A->B->C->E,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,M_C,eabc_chirality_flip_A_C,chirality_flip,Swap A and C labels,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,Omega,eabc_chirality_flip_A_C,chirality_flip,Swap A and C labels,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,S,eabc_chirality_flip_A_C,chirality_flip,Swap A and C labels,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,E(n),eabc_chirality_flip_A_C,chirality_flip,Swap A and C labels,0.0,0.0,0.0,0.0024937655860349127,7983,invariant
catalan,H(n),eabc_chirality_flip_A_C,chirality_flip,Swap A and C labels,0.0,0.0,0.0,0.0024937655860349127,7983,invariant
catalan,L(n),eabc_chirality_flip_A_C,chirality_flip,Swap A and C labels,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,D(n),eabc_chirality_flip_A_C,chirality_flip,Swap A and C labels,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,B(n),eabc_chirality_flip_A_C,chirality_flip,Swap A and C labels,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,M_C,signature_reversal,signature_reversal,Reverse EABC signature order,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,Omega,signature_reversal,signature_reversal,Reverse EABC signature order,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,S,signature_reversal,signature_reversal,Reverse EABC signature order,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,E(n),signature_reversal,signature_reversal,Reverse EABC signature order,0.0,0.0,0.0,0.0024937655860349127,7983,invariant
catalan,H(n),signature_reversal,signature_reversal,Reverse EABC signature order,0.0,0.0,0.0,0.0024937655860349127,7983,invariant
catalan,L(n),signature_reversal,signature_reversal,Reverse EABC signature order,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,D(n),signature_reversal,signature_reversal,Reverse EABC signature order,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,B(n),signature_reversal,signature_reversal,Reverse EABC signature order,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,M_C,eabc_perm_EACB,eabc_permutation,Permutation EABC->EACB,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,Omega,eabc_perm_EACB,eabc_permutation,Permutation EABC->EACB,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,S,eabc_perm_EACB,eabc_permutation,Permutation EABC->EACB,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,E(n),eabc_perm_EACB,eabc_permutation,Permutation EABC->EACB,0.0,0.0,0.0,0.0024937655860349127,7983,invariant
catalan,H(n),eabc_perm_EACB,eabc_permutation,Permutation EABC->EACB,0.0,0.0,0.0,0.0024937655860349127,7983,invariant
catalan,L(n),eabc_perm_EACB,eabc_permutation,Permutation EABC->EACB,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,D(n),eabc_perm_EACB,eabc_permutation,Permutation EABC->EACB,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,B(n),eabc_perm_EACB,eabc_permutation,Permutation EABC->EACB,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,M_C,eabc_perm_EBAC,eabc_permutation,Permutation EABC->EBAC,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,Omega,eabc_perm_EBAC,eabc_permutation,Permutation EABC->EBAC,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,S,eabc_perm_EBAC,eabc_permutation,Permutation EABC->EBAC,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,E(n),eabc_perm_EBAC,eabc_permutation,Permutation EABC->EBAC,0.0,0.0,0.0,0.0024937655860349127,7983,invariant
catalan,H(n),eabc_perm_EBAC,eabc_permutation,Permutation EABC->EBAC,0.0,0.0,0.0,0.0024937655860349127,7983,invariant
catalan,L(n),eabc_perm_EBAC,eabc_permutation,Permutation EABC->EBAC,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,D(n),eabc_perm_EBAC,eabc_permutation,Permutation EABC->EBAC,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,B(n),eabc_perm_EBAC,eabc_permutation,Permutation EABC->EBAC,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,M_C,eabc_perm_EBCA,eabc_permutation,Permutation EABC->EBCA,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,Omega,eabc_perm_EBCA,eabc_permutation,Permutation EABC->EBCA,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,S,eabc_perm_EBCA,eabc_permutation,Permutation EABC->EBCA,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,E(n),eabc_perm_EBCA,eabc_permutation,Permutation EABC->EBCA,0.0,0.0,0.0,0.0024937655860349127,7983,invariant
catalan,H(n),eabc_perm_EBCA,eabc_permutation,Permutation EABC->EBCA,0.0,0.0,0.0,0.0024937655860349127,7983,invariant
catalan,L(n),eabc_perm_EBCA,eabc_permutation,Permutation EABC->EBCA,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,D(n),eabc_perm_EBCA,eabc_permutation,Permutation EABC->EBCA,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,B(n),eabc_perm_EBCA,eabc_permutation,Permutation EABC->EBCA,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,M_C,eabc_perm_ECAB,eabc_permutation,Permutation EABC->ECAB,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,Omega,eabc_perm_ECAB,eabc_permutation,Permutation EABC->ECAB,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,S,eabc_perm_ECAB,eabc_permutation,Permutation EABC->ECAB,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,E(n),eabc_perm_ECAB,eabc_permutation,Permutation EABC->ECAB,0.0,0.0,0.0,0.0024937655860349127,7983,invariant
catalan,H(n),eabc_perm_ECAB,eabc_permutation,Permutation EABC->ECAB,0.0,0.0,0.0,0.0024937655860349127,7983,invariant
catalan,L(n),eabc_perm_ECAB,eabc_permutation,Permutation EABC->ECAB,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,D(n),eabc_perm_ECAB,eabc_permutation,Permutation EABC->ECAB,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,B(n),eabc_perm_ECAB,eabc_permutation,Permutation EABC->ECAB,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,M_C,eabc_perm_ECBA,eabc_permutation,Permutation EABC->ECBA,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,Omega,eabc_perm_ECBA,eabc_permutation,Permutation EABC->ECBA,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,S,eabc_perm_ECBA,eabc_permutation,Permutation EABC->ECBA,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,E(n),eabc_perm_ECBA,eabc_permutation,Permutation EABC->ECBA,0.0,0.0,0.0,0.0024937655860349127,7983,invariant
catalan,H(n),eabc_perm_ECBA,eabc_permutation,Permutation EABC->ECBA,0.0,0.0,0.0,0.0024937655860349127,7983,invariant
catalan,L(n),eabc_perm_ECBA,eabc_permutation,Permutation EABC->ECBA,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
catalan,D(n),eabc_perm_ECBA,eabc_permutation,Permutation EABC->ECBA,0.0,0.0,0.0,0.0024937655860349127,8000,invariant
