N,delta_r,H_prime,H_wheel_random,H_wheel_cramer,deltaH_wheel,deltaH_cramer,Q_random,Q_cramer,HL_k3_proxy,HL_k4_proxy
1000000,2,1.1041,0.9876,1.0356,0.11650000000000005,0.0685,1.1179627379505874,1.0661452298184628,0.726,0.691
1000000,6,1.6456,1.1327,1.3251,0.5128999999999999,0.3205,1.4528118654542244,1.2418685382235304,0.713,0.69
1000000,10,2.3522,1.2383,1.5802,1.1139,0.7719999999999998,1.8995396915125575,1.488545753702063,0.691,0.675
1000000,14,3.3553,1.3122,1.832,2.0431,1.5233,2.5570035055631766,1.831495633187773,0.66,0.66
1000000,18,4.7497,1.4738,2.2536,3.2759,2.4960999999999998,3.2227574976251865,2.107605608803692,0.66,0.66
10000000,2,1.0749,0.9813,1.0212,0.09360000000000002,0.05369999999999986,1.0953836747172119,1.0525851938895416,0.726,0.691
10000000,6,1.4975,1.1171,1.2604,0.38040000000000007,0.2371000000000001,1.3405245725539343,1.1881148841637577,0.713,0.69
10000000,10,2.0119,1.1974,1.4618,0.8144999999999998,0.5500999999999998,1.6802238182729246,1.376316869612806,0.691,0.675
10000000,14,2.6855,1.2473,1.6433,1.4382000000000001,1.0422000000000002,2.1530505892728296,1.6342116472950772,0.66,0.66
10000000,18,3.554,1.3793,1.9505,2.1746999999999996,1.6035,2.5766693250199375,1.8220968982312227,0.66,0.66
20000000,2,1.0681,0.9773,1.0162,0.0908000000000001,0.05190000000000006,1.092909035096695,1.0510726234993113,0.726,0.691
20000000,6,1.4649,1.1095,1.2477,0.35540000000000016,0.21720000000000006,1.3203244704821993,1.17408030776629,0.713,0.69
20000000,10,1.9354,1.1869,1.4364,0.7484999999999999,0.4990000000000001,1.6306344258151486,1.3473962684489,0.691,0.675
20000000,14,2.5408,1.2359,1.601,1.3049,0.9398,2.055829759689295,1.5870081199250468,0.66,0.66
20000000,18,3.3145,1.3581,1.886,1.9563999999999997,1.4284999999999999,2.440541933583683,1.757423117709438,0.66,0.66
