section,scale,model,metric,delta_r,value,std_or_se,r2,aic,bic,notes
A_quotient_scaling,1000000,linear,fit,,,,0.98795432,-27.764444,-28.545568,a=0.87899519;b=0.066813696 | a_se=0.048937195;b_se=0.0042594361
A_quotient_scaling,1000000,power_one_plus,fit,,,,0.99747142,-35.569675,-36.3508,alpha=1.3575145;c=0.022181568 | alpha_se=0.063029324;c_se=0.0038147027
A_quotient_scaling,10000000,linear,fit,,,,0.98988042,-31.618881,-32.400005,a=0.91838506;b=0.049628004 | a_se=0.033284575;b_se=0.0028970504
A_quotient_scaling,10000000,power_one_plus,fit,,,,0.99621374,-36.534348,-37.315472,alpha=1.3048794;c=0.019256121 | alpha_se=0.073729914;c_se=0.0038643496
A_quotient_scaling,20000000,linear,fit,,,,0.98928474,-32.167434,-32.948559,a=0.92698889;b=0.04564072 | a_se=0.031507912;b_se=0.0027424118
A_quotient_scaling,20000000,power_one_plus,fit,,,,0.99573852,-36.777701,-37.558825,alpha=1.2978677;c=0.018115151 | alpha_se=0.077629475;c_se=0.0038263628
A_quotient_scaling,pooled,linear,fit,,,,0.9136535,-66.948087,-65.531986,a=0.90812304;b=0.054027474 | a_se=0.052925083;b_se=0.0046065372
A_quotient_scaling,pooled,power_one_plus,fit,,,,0.92068089,-68.221423,-66.805323,alpha=1.3240472;c=0.019814971 | alpha_se=0.17141986;c_se=0.009253639
B_wheel210,1000000,wheel210_random,H_wheel210,2,1.7531277,0.24450713,,,,
B_wheel210,1000000,wheel210_random,deltaH_210,2,-0.64902774,,,,,
B_wheel210,1000000,wheel210_random,R_210,2,0.62978868,,,,,
B_wheel210,1000000,wheel210_cramer,H_wheel210,2,1.7361354,0.074265675,,,,
B_wheel210,1000000,wheel210_cramer,deltaH_210,2,-0.63203542,,,,,
B_wheel210,1000000,wheel210_cramer,R_210,2,0.63595269,,,,,
B_wheel210,1000000,wheel210_random,H_wheel210,6,0.58608349,0.080332589,,,,
B_wheel210,1000000,wheel210_random,deltaH_210,6,1.0595165,,,,,
B_wheel210,1000000,wheel210_random,R_210,6,2.8077911,,,,,
B_wheel210,1000000,wheel210_cramer,H_wheel210,6,0.57042531,0.0086948054,,,,
B_wheel210,1000000,wheel210_cramer,deltaH_210,6,1.0751747,,,,,
B_wheel210,1000000,wheel210_cramer,R_210,6,2.884865,,,,,
B_wheel210,1000000,wheel210_random,H_wheel210,10,1.1561003,0.088351214,,,,
B_wheel210,1000000,wheel210_random,deltaH_210,10,1.1960997,,,,,
B_wheel210,1000000,wheel210_random,R_210,10,2.0345986,,,,,
B_wheel210,1000000,wheel210_cramer,H_wheel210,10,1.0843849,0.023758952,,,,
B_wheel210,1000000,wheel210_cramer,deltaH_210,10,1.2678151,,,,,
B_wheel210,1000000,wheel210_cramer,R_210,10,2.169156,,,,,
B_wheel210,1000000,wheel210_random,H_wheel210,14,1.1873036,0.035604251,,,,
B_wheel210,1000000,wheel210_random,deltaH_210,14,2.1679964,,,,,
B_wheel210,1000000,wheel210_random,R_210,14,2.8259833,,,,,
B_wheel210,1000000,wheel210_cramer,H_wheel210,14,1.1319395,0.048165815,,,,
B_wheel210,1000000,wheel210_cramer,deltaH_210,14,2.2233605,,,,,
B_wheel210,1000000,wheel210_cramer,R_210,14,2.9642043,,,,,
B_wheel210,1000000,wheel210_random,H_wheel210,18,0.81887816,0.068956232,,,,
B_wheel210,1000000,wheel210_random,deltaH_210,18,3.9308218,,,,,
B_wheel210,1000000,wheel210_random,R_210,18,5.8002524,,,,,
B_wheel210,1000000,wheel210_cramer,H_wheel210,18,0.70648149,0.042032844,,,,
B_wheel210,1000000,wheel210_cramer,deltaH_210,18,4.0432185,,,,,
